,경기번호,A팀,A팀Set1,A팀Set2,A팀Set3,A팀Set4,A팀Set5,A팀총점,B팀,B팀Set1,B팀Set2,B팀Set3,B팀Set4,B팀Set5,B팀총점,경기시간,Set1,Set2,Set3,Set4,Set5
0,1,대한항공,25,24,25,25,0,99,KB손해보험,21,26,16,16,0,79,경기시간,28   m,32   m,26   m,26   m,0    m
1,2,현대건설,25,25,25,0,0,75,한국도로공사,13,18,20,0,0,51,경기시간,25   m,26   m,30   m,0    m,0    m
2,3,OK금융그룹,18,19,21,0,0,58,한국전력,25,25,25,0,0,75,경기시간,27   m,28   m,29   m,0    m,0    m
3,4,IBK기업은행,19,22,18,0,0,59,GS칼텍스,25,25,25,0,0,75,경기시간,27   m,29   m,27   m,0    m,0    m
4,5,삼성화재,23,25,19,18,0,85,현대캐피탈,25,17,25,25,0,92,경기시간,29   m,30   m,26   m,29   m,0    m
5,6,흥국생명,25,25,25,0,0,75,페퍼저축은행,16,16,16,0,0,48,경기시간,23   m,26   m,29   m,0    m,0    m
6,7,OK금융그룹,18,21,13,0,0,52,우리카드,25,25,25,0,0,75,경기시간,28   m,31   m,25   m,0    m,0    m
7,8,IBK기업은행,20,25,27,20,8,100,KGC인삼공사,25,21,25,25,15,111,경기시간,27   m,29   m,32   m,31   m,18   m
8,9,KB손해보험,28,25,26,25,0,104,한국전력,26,20,28,23,0,97,경기시간,33   m,28   m,34   m,33   m,0    m
9,10,한국도로공사,25,25,21,22,15,108,GS칼텍스,21,15,25,25,11,97,경기시간,27   m,25   m,32   m,31   m,19   m
10,11,현대캐피탈,24,22,19,0,0,65,대한항공,26,25,25,0,0,76,경기시간,33   m,31   m,30   m,0    m,0    m
11,12,페퍼저축은행,20,25,18,21,0,84,현대건설,25,20,25,25,0,95,경기시간,27   m,30   m,28   m,32   m,0    m
12,13,우리카드,26,25,25,25,0,101,삼성화재,28,20,18,22,0,88,경기시간,36   m,30   m,30   m,33   m,0    m
13,14,KGC인삼공사,25,20,18,0,0,63,흥국생명,27,25,25,0,0,77,경기시간,37   m,28   m,29   m,0    m,0    m
14,15,KB손해보험,25,19,25,25,15,109,OK금융그룹,27,25,23,22,11,108,경기시간,34   m,28   m,31   m,30   m,19   m
15,16,한국도로공사,22,25,22,16,0,85,IBK기업은행,25,22,25,25,0,97,경기시간,27   m,31   m,28   m,26   m,0    m
16,17,대한항공,25,25,25,0,0,75,삼성화재,12,23,21,0,0,56,경기시간,24   m,28   m,27   m,0    m,0    m
17,18,현대건설,25,21,25,25,0,96,흥국생명,23,25,18,12,0,78,경기시간,30   m,30   m,26   m,24   m,0    m
18,19,한국전력,23,21,19,0,0,63,현대캐피탈,25,25,25,0,0,75,경기시간,30   m,28   m,27   m,0    m,0    m
19,20,GS칼텍스,23,25,25,25,0,98,페퍼저축은행,25,15,18,10,0,68,경기시간,29   m,24   m,26   m,21   m,0    m
20,21,우리카드,23,20,24,0,0,67,KB손해보험,25,25,26,0,0,76,경기시간,29   m,32   m,35   m,0    m,0    m
21,22,KGC인삼공사,25,19,16,14,0,74,한국도로공사,20,25,25,25,0,95,경기시간,29   m,28   m,27   m,25   m,0    m
22,23,삼성화재,18,25,17,23,0,83,OK금융그룹,25,23,25,25,0,98,경기시간,27   m,31   m,27   m,31   m,0    m
