player,tcont,war
전광인,6.967213115,3.688412215
정지석,6.812977099,3.534176199
비예나,6.805194805,3.526393905
오레올,6.682170543,3.403369643
레오,6.496323529,3.217522629
황택의,6.468468468,3.189667568
황승빈,6.435714286,3.156913386
김정호,6.397058824,3.118257924
황경민,6.265625,2.9868241
타이스,6.213793103,2.934992203
한선수,6.084033613,2.805232713
송희채,5.995192308,2.716391408
나경복,5.791666667,2.512865767
곽명우,5.70661157,2.42781067
이크바이리,5.621428571,2.342627671
이현승,5.446808511,2.168007611
임성진,5.372413793,2.093612893
안드리치,5.368421053,2.089620153
니콜라,5.269230769,1.990429869
한성정,5.191304348,1.912503448
하승우,5.107142857,1.828341957
이민규,5.053571429,1.774770529
곽승석,5.018518519,1.739717619
이상욱,4.98943662,1.71063572
오재성,4.985611511,1.706810611
이호건,4.835877863,1.557076963
아가메즈,4.764705882,1.485904982
허수봉,4.748,1.4691991
링컨,4.734513274,1.455712374
서재덕,4.597826087,1.319025187
정민수,4.544444444,1.265643544
이원중,4.357142857,1.078341957
부용찬,4.334558824,1.055757924
여오현,3.972972973,0.694172073
차지환,3.919642857,0.640841957
김광국,3.717105263,0.438304363
장지원,3.713235294,0.434434394
조재성,3.6875,0.4086991
노재욱,3.546511628,0.267710728
류윤식,3.540816327,0.262015427
박승수,3.474025974,0.195225074
송명근,3.462264151,0.183463251
홍상혁,3.361538462,0.082737562
박경민,3.305970149,0.027169249
신승훈,3.125,-0.1538009
이지석,3,-0.2788009
정진혁,3,-0.2788009
신장호,2.985074627,-0.293726273
김지한,2.968503937,-0.310296963
이준,2.966666667,-0.312134233
신영석,2.814685315,-0.464115585
김명관,2.761627907,-0.517172993
고준용,2.732142857,-0.546658043
오은렬,2.701550388,-0.577250512
유광우,2.610465116,-0.668335784
박지훈,2.39,-0.8888009
임동혁,2.375,-0.9038009
강우석,2.333333333,-0.945467567
정한용,2.278688525,-1.000112375
김민재,2.273504274,-1.005296626
김규민,2.059322034,-1.219478866
정성민,2.017857143,-1.260943757
최민호,2.015873016,-1.262927884
신호진,1.930555556,-1.348245344
박현빈,1.928571429,-1.350229471
공재학,1.888888889,-1.389912011
박상하,1.85483871,-1.42396219
정성현,1.825396825,-1.453404075
박진우,1.794354839,-1.484446061
송원근,1.756097561,-1.522703339
김준우,1.645669291,-1.633131609
박찬웅,1.637681159,-1.641119741
김홍정,1.623931624,-1.654869276
문성민,1.62,-1.6588009
이상현,1.571969697,-1.706831203
손태훈,1.555555556,-1.723245344
조재영,1.5,-1.7788009
전진선,1.471962617,-1.806838283
진상헌,1.467889908,-1.810910992
홍동선,1.462121212,-1.816679688
김영준,1.459459459,-1.819341441
손현종,1.428571429,-1.850229471
강정민,1.4,-1.8788009
조국기,1.368421053,-1.910379847
조근호,1.352631579,-1.926169321
김동민,1.351851852,-1.926949048
김선호,1.333333333,-1.945467567
정동근,1.321428571,-1.957372329
한태준,1.311111111,-1.967689789
하현용,1.305825243,-1.972975657
우상조,1.285714286,-1.993086614
이강원,1.214285714,-2.064515186
최석기,1.183823529,-2.094977371
박철우,1.18115942,-2.09764148
문지훈,1.166666667,-2.112134233
김도훈,1.033333333,-2.245467567
박원빈,0.93,-2.3488009
안지원,0.916666667,-2.362134233
구도현,0.909090909,-2.369709991
김완종,0.906542056,-2.372258844
박준혁,0.865853659,-2.412947241
송민근,0.833333333,-2.445467567
한국민,0.753012048,-2.525788852
함형진,0.75,-2.5288009
양희준,0.7,-2.5788009
신동광,0.695121951,-2.583678949
이태호,0.689189189,-2.589611711
박성진,0.629032258,-2.649768642
이민욱,0.5,-2.7788009
진지위,0.444444444,-2.834356456
정태준,0.392857143,-2.885943757
지태환,0.375,-2.9038009
홍민기,0.337837838,-2.940963062
정성환,0.28125,-2.9975509
배상진,0.279069767,-2.999731133
한상길,0.235294118,-3.043506782
손준영,0.180232558,-3.098568342
황동일,0.160714286,-3.118086614
이수황,0.117647059,-3.161153841
이진성,0.071428571,-3.207372329
구교혁,0.022727273,-3.256073627
정성규,0.021551724,-3.257249176
양준식,0,-3.2788009
황준태,0,-3.2788009
백광현,0,-3.2788009
나두환,0,-3.2788009
0,0,-3.2788009
천종범,0,-3.2788009
박지윤,0,-3.2788009
이시우,-0.04040404,-3.31920494
최요한,-0.071428571,-3.350229471
임재영,-0.138888889,-3.417689789
전병선,-0.21875,-3.4975509
이준협,-0.25,-3.5288009
최익제,-0.276315789,-3.555116689
김인균,-0.352941176,-3.631742076
우병헌,-0.5,-3.7788009
김주영,-0.666666667,-3.945467567
