"","team.A","team.B","p.A","wins.A","update.A","update.B","elo.A","elo.B"
"1","대한항공","KB손해보험",0.63,1,6.31,-6.31,1600.35,1496.01
"2","대한항공","KB손해보험",0.65,0,-10.98,10.98,1589.37,1506.98
"3","대한항공","KB손해보험",0.62,1,6.52,-6.52,1595.9,1500.46
"4","대한항공","KB손해보험",0.63,1,6.22,-6.22,1602.12,1494.24
"5","현대건설","한국도로공사",0.51,1,8.28,-8.28,1645.9,1620.21
"6","현대건설","한국도로공사",0.54,1,7.87,-7.87,1653.77,1612.34
"7","현대건설","한국도로공사",0.56,1,7.49,-7.49,1661.26,1604.85
"8","OK금융그룹","한국전력",0.34,0,-5.82,5.82,1426.1,1551.01
"9","OK금융그룹","한국전력",0.33,0,-5.57,5.57,1420.53,1556.58
"10","OK금융그룹","한국전력",0.31,0,-5.33,5.33,1415.2,1561.91
"11","IBK기업은행","GS칼텍스",0.32,0,-5.37,5.37,1485.79,1630.59
"12","IBK기업은행","GS칼텍스",0.3,0,-5.15,5.15,1480.64,1635.74
"13","IBK기업은행","GS칼텍스",0.29,0,-4.94,4.94,1475.7,1640.68
"14","삼성화재","현대캐피탈",0.52,0,-8.87,8.87,1434.04,1436.6
"15","삼성화재","현대캐피탈",0.5,1,8.56,-8.56,1442.6,1428.04
"16","삼성화재","현대캐피탈",0.52,0,-8.86,8.86,1433.75,1436.89
"17","삼성화재","현대캐피탈",0.5,0,-8.42,8.42,1425.33,1445.32
"18","흥국생명","페퍼저축은행",0.65,1,5.97,-5.97,1404.6,1286.21
"19","흥국생명","페퍼저축은행",0.66,1,5.71,-5.71,1410.31,1280.5
"20","흥국생명","페퍼저축은행",0.68,1,5.46,-5.46,1415.78,1275.04
"21","OK금융그룹","우리카드",0.31,0,-5.23,5.23,1409.96,1561.12
"22","OK금융그룹","우리카드",0.3,0,-5.02,5.02,1404.94,1566.14
"23","OK금융그룹","우리카드",0.28,0,-4.82,4.82,1400.13,1570.96
"24","IBK기업은행","KGC인삼공사",0.57,0,-9.69,9.69,1466.01,1436.39
"25","IBK기업은행","KGC인삼공사",0.54,1,7.78,-7.78,1473.79,1428.61
"26","IBK기업은행","KGC인삼공사",0.56,1,7.4,-7.4,1481.19,1421.21
"27","IBK기업은행","KGC인삼공사",0.59,0,-9.95,9.95,1471.23,1431.16
"28","IBK기업은행","KGC인삼공사",0.56,0,-9.48,9.48,1461.76,1440.64
"29","KB손해보험","한국전력",0.4,1,10.13,-10.13,1504.38,1551.78
"30","KB손해보험","한국전력",0.43,1,9.65,-9.65,1514.03,1542.13
"31","KB손해보험","한국전력",0.46,0,-7.81,7.81,1506.21,1549.94
"32","KB손해보험","한국전력",0.44,1,9.56,-9.56,1515.78,1540.38
"33","한국도로공사","GS칼텍스",0.45,1,9.37,-9.37,1614.22,1631.31
"34","한국도로공사","GS칼텍스",0.48,1,8.92,-8.92,1623.14,1622.39
"35","한국도로공사","GS칼텍스",0.5,0,-8.52,8.52,1614.62,1630.91
"36","한국도로공사","GS칼텍스",0.48,0,-8.1,8.1,1606.52,1639.01
"37","한국도로공사","GS칼텍스",0.45,1,9.29,-9.29,1615.81,1629.72
"38","현대캐피탈","대한항공",0.29,0,-4.9,4.9,1440.41,1607.02
"39","현대캐피탈","대한항공",0.28,0,-4.71,4.71,1435.7,1611.73
"40","현대캐피탈","대한항공",0.27,0,-4.53,4.53,1431.17,1616.26
"41","페퍼저축은행","현대건설",0.1,0,-1.66,1.66,1273.38,1662.92
"42","페퍼저축은행","현대건설",0.1,1,15.37,-15.37,1288.74,1647.56
"43","페퍼저축은행","현대건설",0.11,0,-1.91,1.91,1286.83,1649.47
"44","페퍼저축은행","현대건설",0.11,0,-1.88,1.88,1284.96,1651.34
"45","우리카드","삼성화재",0.7,0,-11.87,11.87,1559.09,1437.19
"46","우리카드","삼성화재",0.67,1,5.63,-5.63,1564.73,1431.56
"47","우리카드","삼성화재",0.68,1,5.39,-5.39,1570.12,1426.17
"48","우리카드","삼성화재",0.7,1,5.17,-5.17,1575.29,1421
"49","KGC인삼공사","흥국생명",0.54,0,-9.11,9.11,1431.53,1424.88
"50","KGC인삼공사","흥국생명",0.51,0,-8.66,8.66,1422.87,1433.55
"51","KGC인삼공사","흥국생명",0.48,0,-8.24,8.24,1414.63,1441.78
"52","KB손해보험","OK금융그룹",0.66,0,-11.23,11.23,1504.55,1411.35
"53","KB손해보험","OK금융그룹",0.63,0,-10.73,10.73,1493.82,1422.08
"54","KB손해보험","OK금융그룹",0.6,1,6.77,-6.77,1500.59,1415.31
"55","KB손해보험","OK금융그룹",0.62,1,6.45,-6.45,1507.05,1408.86
"56","KB손해보험","OK금융그룹",0.64,1,6.16,-6.16,1513.21,1402.7
"57","한국도로공사","IBK기업은행",0.71,0,-12.04,12.04,1603.77,1473.8
"58","한국도로공사","IBK기업은행",0.68,1,5.46,-5.46,1609.23,1468.34
"59","한국도로공사","IBK기업은행",0.69,0,-11.77,11.77,1597.46,1480.11
"60","한국도로공사","IBK기업은행",0.66,0,-11.27,11.27,1586.2,1491.37
"61","대한항공","삼성화재",0.75,1,4.17,-4.17,1620.43,1416.83
"62","대한항공","삼성화재",0.76,1,4.02,-4.02,1624.45,1412.81
"63","대한항공","삼성화재",0.77,1,3.88,-3.88,1628.33,1408.93
"64","현대건설","흥국생명",0.77,1,3.92,-3.92,1655.26,1437.87
"65","현대건설","흥국생명",0.78,0,-13.22,13.22,1642.04,1451.09
"66","현대건설","흥국생명",0.75,1,4.25,-4.25,1646.29,1446.84
"67","현대건설","흥국생명",0.76,1,4.09,-4.09,1650.38,1442.74
"68","한국전력","현대캐피탈",0.65,0,-11.09,11.09,1529.29,1442.26
"69","한국전력","현대캐피탈",0.62,0,-10.59,10.59,1518.7,1452.85
"70","한국전력","현대캐피탈",0.59,0,-10.09,10.09,1508.61,1462.94
"71","GS칼텍스","페퍼저축은행",0.88,0,-14.95,14.95,1614.77,1299.9
"72","GS칼텍스","페퍼저축은행",0.86,1,2.39,-2.39,1617.16,1297.52
"73","GS칼텍스","페퍼저축은행",0.86,1,2.33,-2.33,1619.49,1295.19
"74","GS칼텍스","페퍼저축은행",0.87,1,2.28,-2.28,1621.76,1292.91
"75","우리카드","KB손해보험",0.59,0,-10,10,1565.28,1523.21
"76","우리카드","KB손해보험",0.56,0,-9.52,9.52,1555.76,1532.73
"77","우리카드","KB손해보험",0.53,0,-9.06,9.06,1546.7,1541.8
"78","KGC인삼공사","한국도로공사",0.27,1,12.39,-12.39,1427.01,1573.81
"79","KGC인삼공사","한국도로공사",0.3,0,-5.11,5.11,1421.91,1578.92
"80","KGC인삼공사","한국도로공사",0.29,0,-4.9,4.9,1417.01,1583.82
"81","KGC인삼공사","한국도로공사",0.28,0,-4.71,4.71,1412.3,1588.52
"82","삼성화재","OK금융그룹",0.51,0,-8.65,8.65,1400.28,1411.35
"83","삼성화재","OK금융그룹",0.48,1,8.77,-8.77,1409.05,1402.58
"84","삼성화재","OK금융그룹",0.51,0,-8.66,8.66,1400.39,1411.24
"85","삼성화재","OK금융그룹",0.48,0,-8.23,8.23,1392.15,1419.47
"86","흥국생명","IBK기업은행",0.43,1,9.68,-9.68,1452.43,1481.69
"87","흥국생명","IBK기업은행",0.46,1,9.21,-9.21,1461.64,1472.48
"88","흥국생명","IBK기업은행",0.48,1,8.77,-8.77,1470.41,1463.71
"89","대한항공","한국전력",0.67,1,5.68,-5.68,1634.01,1502.93
"90","대한항공","한국전력",0.68,0,-11.56,11.56,1622.45,1514.49
"91","대한항공","한국전력",0.65,1,5.94,-5.94,1628.39,1508.55
